IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.77.222,2052,2052,false,SIN,Asia Pacific,Singapore,267,3.33
47.236.144.48,8080,8080,false,SIN,Asia Pacific,Singapore,266,3.33
8.222.137.192,2052,2052,false,SIN,Asia Pacific,Singapore,263,3.30
8.219.126.240,2095,2095,false,SIN,Asia Pacific,Singapore,254,3.27
8.219.107.135,2053,2053,true,SIN,Asia Pacific,Singapore,262,3.27
8.219.49.65,2083,2083,true,SIN,Asia Pacific,Singapore,258,3.27
47.236.5.223,8880,8880,false,SIN,Asia Pacific,Singapore,255,3.24
47.237.84.173,2082,2082,false,SIN,Asia Pacific,Singapore,268,3.22
47.236.171.205,2082,2082,false,SIN,Asia Pacific,Singapore,261,3.18
47.236.117.48,80,80,false,SIN,Asia Pacific,Singapore,257,3.18
47.237.94.140,2083,2083,true,SIN,Asia Pacific,Singapore,263,3.14
47.236.232.148,2082,2082,false,SIN,Asia Pacific,Singapore,256,3.12
47.236.102.102,2095,2095,false,SIN,Asia Pacific,Singapore,261,3.12
47.236.164.215,2082,2082,false,SIN,Asia Pacific,Singapore,259,3.11
8.219.78.1,80,80,false,SIN,Asia Pacific,Singapore,265,3.11
47.236.164.215,2086,2086,false,SIN,Asia Pacific,Singapore,261,3.11
47.237.95.156,2083,2083,true,SIN,Asia Pacific,Singapore,258,3.10
47.236.174.206,2082,2082,false,SIN,Asia Pacific,Singapore,273,3.09
47.237.92.26,2096,2096,true,SIN,Asia Pacific,Singapore,252,3.08
8.222.208.38,2086,2086,false,SIN,Asia Pacific,Singapore,264,3.07
47.236.180.24,8880,8880,false,SIN,Asia Pacific,Singapore,260,3.05
8.222.179.231,2086,2086,false,SIN,Asia Pacific,Singapore,258,3.03
8.222.134.170,2086,2086,false,SIN,Asia Pacific,Singapore,288,3.01
47.236.145.85,80,80,false,SIN,Asia Pacific,Singapore,258,2.99
8.218.132.209,80,443,true,SIN,Asia Pacific,Singapore,14,2.97
47.237.121.38,2082,2082,false,SIN,Asia Pacific,Singapore,252,2.97
8.219.67.133,2082,2082,false,SIN,Asia Pacific,Singapore,254,2.95
8.219.78.188,2082,2082,false,SIN,Asia Pacific,Singapore,254,2.94
47.236.80.110,80,80,false,SIN,Asia Pacific,Singapore,253,2.91
47.236.166.131,80,80,false,SIN,Asia Pacific,Singapore,264,2.89
8.222.156.242,2096,2096,true,SIN,Asia Pacific,Singapore,273,2.86
8.219.161.129,2096,2096,true,SIN,Asia Pacific,Singapore,250,2.85
8.219.199.220,2086,2086,false,SIN,Asia Pacific,Singapore,253,2.84
47.236.80.110,2087,2087,true,SIN,Asia Pacific,Singapore,253,2.84
8.219.50.180,2086,2086,false,SIN,Asia Pacific,Singapore,262,2.80
47.237.82.15,8080,8080,false,SIN,Asia Pacific,Singapore,251,2.78
47.236.9.152,80,80,false,SIN,Asia Pacific,Singapore,261,2.77
47.237.14.220,2096,2096,true,SIN,Asia Pacific,Singapore,254,2.72
8.219.60.54,2096,2096,true,SIN,Asia Pacific,Singapore,262,2.71
47.236.172.95,2082,2082,false,SIN,Asia Pacific,Singapore,256,2.71
47.236.130.95,2053,2053,true,SIN,Asia Pacific,Singapore,255,2.70
8.219.100.168,2083,2083,true,SIN,Asia Pacific,Singapore,261,2.69
47.236.166.131,2095,2095,false,SIN,Asia Pacific,Singapore,270,2.68
47.237.95.13,2083,2083,true,SIN,Asia Pacific,Singapore,263,2.66
47.236.75.113,2052,2052,false,SIN,Asia Pacific,Singapore,254,2.65
47.237.95.156,2052,2052,false,SIN,Asia Pacific,Singapore,268,2.64
47.236.167.231,2053,2053,true,SIN,Asia Pacific,Singapore,257,2.61
47.237.94.140,2087,2087,true,SIN,Asia Pacific,Singapore,267,2.60
47.236.237.90,2086,2086,false,SIN,Asia Pacific,Singapore,260,2.60
47.237.10.1,2053,2053,true,SIN,Asia Pacific,Singapore,257,2.59
47.237.82.15,2095,2095,false,SIN,Asia Pacific,Singapore,257,2.59
47.237.11.182,2096,2096,true,SIN,Asia Pacific,Singapore,251,2.58
47.236.117.48,2053,2053,true,SIN,Asia Pacific,Singapore,258,2.57
47.236.93.176,2082,2082,false,SIN,Asia Pacific,Singapore,256,2.57
47.237.95.13,2052,2052,false,SIN,Asia Pacific,Singapore,252,2.55
8.219.78.188,2053,2053,true,SIN,Asia Pacific,Singapore,259,2.54
8.219.111.175,2086,2086,false,SIN,Asia Pacific,Singapore,254,2.52
47.236.144.196,80,80,false,SIN,Asia Pacific,Singapore,260,2.50
213.35.98.64,443,443,true,SIN,Asia Pacific,Singapore,252,2.50
47.237.81.112,80,80,false,SIN,Asia Pacific,Singapore,255,2.50
8.219.220.88,80,80,false,SIN,Asia Pacific,Singapore,252,2.49
8.219.60.54,8080,8080,false,SIN,Asia Pacific,Singapore,254,2.46
103.75.188.126,443,443,true,SIN,Asia Pacific,Singapore,62,2.44
47.236.165.25,2083,2083,true,SIN,Asia Pacific,Singapore,259,2.43
47.237.92.26,2052,2052,false,SIN,Asia Pacific,Singapore,256,2.42
47.236.253.41,2083,2083,true,SIN,Asia Pacific,Singapore,255,2.37
47.236.237.90,2095,2095,false,SIN,Asia Pacific,Singapore,257,2.36
8.219.87.30,8880,8880,false,SIN,Asia Pacific,Singapore,252,2.35
47.236.174.206,2052,2052,false,SIN,Asia Pacific,Singapore,262,2.33
47.236.87.246,2082,2082,false,SIN,Asia Pacific,Singapore,252,2.31
8.222.146.222,8880,8880,false,SIN,Asia Pacific,Singapore,259,2.29
47.236.149.107,2082,2082,false,SIN,Asia Pacific,Singapore,269,2.26
8.219.191.110,8443,8443,true,SIN,Asia Pacific,Singapore,250,2.24
47.236.169.164,2095,2095,false,SIN,Asia Pacific,Singapore,259,2.23
47.236.75.152,2082,2082,false,SIN,Asia Pacific,Singapore,260,2.23
47.236.169.164,80,80,false,SIN,Asia Pacific,Singapore,262,2.20
8.219.161.129,2095,2095,false,SIN,Asia Pacific,Singapore,268,2.17
8.219.199.220,2087,2087,true,SIN,Asia Pacific,Singapore,256,2.17
47.237.81.112,2082,2082,false,SIN,Asia Pacific,Singapore,253,2.16
8.219.200.145,2087,2087,true,SIN,Asia Pacific,Singapore,253,2.15
8.219.126.240,80,80,false,SIN,Asia Pacific,Singapore,249,2.14
47.236.146.249,443,443,true,SIN,Asia Pacific,Singapore,260,2.12
47.237.95.156,8080,8080,false,SIN,Asia Pacific,Singapore,260,2.12
47.245.114.163,2096,2096,true,SIN,Asia Pacific,Singapore,258,2.07
8.219.78.188,2083,2083,true,SIN,Asia Pacific,Singapore,259,2.07
8.219.111.175,8443,8443,true,SIN,Asia Pacific,Singapore,255,2.07
8.222.137.192,2082,2082,false,SIN,Asia Pacific,Singapore,254,2.05
47.236.171.205,2086,2086,false,SIN,Asia Pacific,Singapore,255,2.05
47.236.80.110,2086,2086,false,SIN,Asia Pacific,Singapore,257,2.03
8.212.41.98,80,80,false,SIN,Asia Pacific,Singapore,21,2.02
8.219.174.142,8880,8880,false,SIN,Asia Pacific,Singapore,253,1.98
8.219.174.142,443,443,true,SIN,Asia Pacific,Singapore,270,1.97
47.237.84.173,8880,8880,false,SIN,Asia Pacific,Singapore,250,1.94
8.219.189.143,2086,2086,false,SIN,Asia Pacific,Singapore,259,1.93
47.236.232.148,2095,2095,false,SIN,Asia Pacific,Singapore,253,1.92
